game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,map_mines_count,name,param1,param2,param3,param4
24,UberAi,1481,2,2,4,randomMedium.json,187,97,4,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
24,UberAi,2363,3,1,4,randomMedium.json,187,97,4,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
24,UberAi,2290,1,3,4,randomMedium.json,187,97,4,4619a3e702694d83be955cce0c35d6e2,0.6634186259539822,0.5146011477428268,0.9790363163621182,0.7974503978987091
25,UberAi,152,2,2,4,lambda.json,60,38,4,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
25,UberAi,723,1,3,4,lambda.json,60,38,4,9412f838a012460c8309d3e152edf861,0.008743671654964258,0.8862524472053822,0.7245013445560068,0.6386432266268599
25,UberAi,813,0,4,4,lambda.json,60,38,4,435f671554fb4c1d886032d57f2f0dfe,0.37310333329422096,0.7306853233628844,0.7298559014174076,0.4490481775690526
25,UberAi,73,3,1,4,lambda.json,60,38,4,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
26,UberAi,30,0,2,2,sample.json,12,8,2,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
26,UberAi,25,1,1,2,sample.json,12,8,2,1f5f862af3474c69a4ee9508172c1951,0.06015814500756922,0.6398485103205623,0.9676629212169576,0.17738266539471748
27,UberAi,27,0,2,2,sample.json,12,8,2,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
27,UberAi,25,1,1,2,sample.json,12,8,2,96734a510d1d495ca48d7ae0fc9b0e0d,0.2740022556259928,0.5928846398037566,0.7078135907243868,0.9628948766013017
28,UberAi,30,0,2,2,sample.json,12,8,2,f7d349e738c140338a63e45dae531884,0.7917394217928531,0.05781142327324029,0.8195880332161609,0.10434084110857911
28,UberAi,27,1,1,2,sample.json,12,8,2,891059acf3d44dfda569e9e47d96641c,0.7355179170601728,0.1874595476520703,0.9932062440947008,0.7212946521450874
