game_number,server_name,scores,ranking,tournament_scores,num_players,map,map_rivers_count,map_sites_count,name,Age
48,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
49,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
49,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
50,Dummy,20,1,1,2,sample.json,12,8,Age2,2.0
50,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
51,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
51,ConnectClosestMinesAi,1681,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
52,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
52,ConnectClosestMinesAi,1732,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
53,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
53,GreedyAi,2218,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
54,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
54,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
55,Dummy,0,1,1,2,Sierpinski-triangle.json,81,42,Age2,2.0
55,ConnectClosestMinesAi,1688,0,2,2,Sierpinski-triangle.json,81,42,Age0,0.0
56,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
56,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
57,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
57,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
58,Dummy,8,1,1,2,sample.json,12,8,Age2,2.0
58,ConnectClosestMinesAi,22,0,2,2,sample.json,12,8,Age0,0.0
59,GreedyAi,2071,0,2,2,Sierpinski-triangle.json,81,42,Age1,1.0
59,ConnectClosestMinesAi,1879,1,1,2,Sierpinski-triangle.json,81,42,Age0,0.0
60,Dummy,8,1,1,2,sample.json,12,8,Age2,2.0
60,ConnectClosestMinesAi,22,0,2,2,sample.json,12,8,Age0,0.0
61,Dummy,8,1,1,2,sample.json,12,8,Age2,2.0
61,GreedyAi,22,0,2,2,sample.json,12,8,Age1,1.0
62,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
62,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
63,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
63,GreedyAi,25,1,1,2,sample.json,12,8,Age1,1.0
64,ConnectClosestMinesAi,27,0,2,2,sample.json,12,8,Age0,0.0
